 to your browser,لمتصفحك
!=,لا يساوي
"""Company History""","""نبذة عن الشركة"""
"""Parent"" signifies the parent table in which this row must be added","""الأم"" يدل على الجدول الأصل الذي يجب أن يضاف هذا الصف"
"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة"""
"""amended_from"" field must be present to do an amendment.",يجب أن يكون الحقل &quot;amended_from&quot; حاضرًا لإجراء تعديل.
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; ليس عنوان URL صالحًا لجداول بيانات Google
#{0},#{0}
${values.doctype_name} has been added to queue for optimization,تمت إضافة ${values.doctype_name} إلى قائمة الانتظار للتحسين
&copy; Frappe Technologies Pvt. Ltd. and contributors,
&lt;head&gt; HTML,HTML
In Global Search' is not allowed for field {0} of type {1},"خاصية ""في البحث العام"" غير مسموح بها للحقل {0} من النوع {1}"
In Global Search' not allowed for type {0} in row {1},"""في البحث العام"" غير مسموح للنوع {0} في الصف {1}"
In List View' is not allowed for field {0} of type {1},"خاصية ""في عرض القائمة"" غير مسموح بها للحقل {0} من النوع {1}"
In List View' not allowed for type {0} in row {1},في عرض القائمة' غير مسموح للنوع {0} في الصف {1}
Recipients' not specified,لم يتم تحديد &quot;المستلمين&quot;
{0}' is not a valid URL,"""{0}"" ليس عنوان URL صالحًا"
{0}' not allowed for type {1} in row {2},&quot;{0}&quot; غير مسموح به للنوع {1} في الصف {2}
(Mandatory),(إلزامي)
** Failed: {0} to {1}: {2},** فشل: {0} إلى {1}: {2}
+ Add / Remove Fields,+ إضافة / إزالة حقول
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - مسودّة؛ 1 - تأكيد؛ 2 - إلغاء
0 is highest,0 أعلى قيمة
1 = True & 0 = False,1 = صحيح و 0 = خطأ
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 عملة = [؟] كسر
على سبيل المثال 1 دولار أمريكي = 100 سنت"
1 Day,يوم واحد
1 Google Calendar Event synced.,تمت مزامنة حدث تقويم Google واحد.
1 Report,تقرير واحد
1 comment,تعليق واحد
1 day ago,منذ يوم واحد
1 hour,ساعة واحدة
1 hour ago,منذ 1 ساعة
1 minute ago,منذ 1 دقيقة
1 month ago,قبل شهر
1 of 2,1 من 2
1 record will be exported,سيتم تصدير سجل واحد
1 second ago,منذ ثانية واحدة
1 week ago,1 قبل أسبوع
1 year ago,منذ سنة
2 hours ago,منذ ساعتين
2 months ago,منذ شهرين
2 weeks ago,منذ أسبوعين
2 years ago,منذ سنتين
3 minutes ago,منذ 3 دقائق
30 minutes,30 دقيقة
4 hours,4 ساعات
5 Records,5 السجلات
5 days ago,منذ 5 أيام
; not allowed in condition,; غير مسموح به في حالة
<,<
<=,<=
<b>{0}</b> is not a valid URL,<b>{0}</b> ليس عنوان URL صالحًا
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">يرجى عدم تحديثه لأنه قد يتسبب في فوضى في النموذج الخاص بك. استخدم عرض تخصيص النموذج والحقول المخصصة لتعيين الخصائص!</div>"
